Test Accuracy: 73.70%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.81      0.82      0.81       445
           1       0.93      0.81      0.87       457
           2       0.55      0.69      0.62       440
           3       0.64      0.46      0.54       382
           4       0.90      0.90      0.90       357
           5       0.53      0.61      0.57       299
           6       0.65      0.43      0.52       406
           7       0.89      0.96      0.92       467
           8       0.52      0.65      0.58       348
           9       0.88      0.93      0.91       449

    accuracy                           0.74      4050
   macro avg       0.73      0.73      0.72      4050
weighted avg       0.74      0.74      0.73      4050
