Test Accuracy: 68.77%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.73      0.80      0.77       434
           1       0.88      0.93      0.90       417
           2       0.59      0.51      0.55       459
           3       0.45      0.45      0.45       379
           4       0.78      0.87      0.82       396
           5       0.47      0.73      0.57       290
           6       0.47      0.44      0.45       373
           7       0.82      0.89      0.85       454
           8       0.58      0.28      0.38       385
           9       0.93      0.90      0.92       463

    accuracy                           0.69      4050
   macro avg       0.67      0.68      0.67      4050
weighted avg       0.68      0.69      0.68      4050
