Test Accuracy: 85.16%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.94      0.80      0.87       437
           1       0.98      0.94      0.96       460
           2       0.86      0.79      0.82       442
           3       0.82      0.56      0.66       351
           4       0.79      0.91      0.84       396
           5       0.83      0.85      0.84       305
           6       0.76      0.82      0.79       359
           7       0.93      0.96      0.95       454
           8       0.65      0.86      0.74       393
           9       0.96      0.96      0.96       453

    accuracy                           0.85      4050
   macro avg       0.85      0.84      0.84      4050
weighted avg       0.86      0.85      0.85      4050
