Test Accuracy: 81.04%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.86      0.80      0.83       447
           1       0.85      0.96      0.90       446
           2       0.81      0.58      0.68       424
           3       0.64      0.62      0.63       383
           4       0.93      0.92      0.92       385
           5       0.75      0.76      0.76       307
           6       0.60      0.80      0.69       371
           7       0.95      0.92      0.94       431
           8       0.76      0.74      0.75       393
           9       0.93      0.95      0.94       463

    accuracy                           0.81      4050
   macro avg       0.81      0.81      0.80      4050
weighted avg       0.82      0.81      0.81      4050
