Test Accuracy: 69.95%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.68      0.77      0.73       406
           1       0.82      0.91      0.86       493
           2       0.61      0.50      0.55       453
           3       0.48      0.41      0.44       389
           4       0.87      0.82      0.84       362
           5       0.66      0.59      0.62       303
           6       0.50      0.48      0.49       354
           7       0.74      0.93      0.82       441
           8       0.58      0.56      0.57       403
           9       0.93      0.89      0.91       446

    accuracy                           0.70      4050
   macro avg       0.69      0.69      0.68      4050
weighted avg       0.69      0.70      0.69      4050
