Test Accuracy: 71.46%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.77      0.81      0.79       444
           1       0.96      0.95      0.96       461
           2       0.63      0.61      0.62       495
           3       0.39      0.45      0.42       366
           4       0.77      0.75      0.76       387
           5       0.67      0.63      0.65       290
           6       0.52      0.46      0.49       376
           7       0.88      0.85      0.86       428
           8       0.53      0.56      0.54       369
           9       0.97      0.94      0.95       434

    accuracy                           0.71      4050
   macro avg       0.71      0.70      0.70      4050
weighted avg       0.72      0.71      0.72      4050
