Test Accuracy: 74.59%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.80      0.80      0.80       444
           1       0.91      0.93      0.92       453
           2       0.63      0.60      0.62       460
           3       0.58      0.40      0.48       391
           4       0.92      0.91      0.92       347
           5       0.52      0.70      0.60       303
           6       0.52      0.57      0.55       378
           7       0.93      0.96      0.94       449
           8       0.57      0.54      0.55       372
           9       0.95      0.95      0.95       453

    accuracy                           0.75      4050
   macro avg       0.73      0.74      0.73      4050
weighted avg       0.75      0.75      0.74      4050
