Test Accuracy: 74.32%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.77      0.76      0.77       455
           1       0.91      0.89      0.90       418
           2       0.68      0.63      0.65       450
           3       0.45      0.50      0.47       371
           4       0.84      0.87      0.85       360
           5       0.64      0.70      0.67       304
           6       0.58      0.55      0.57       403
           7       0.89      0.90      0.89       455
           8       0.67      0.64      0.65       373
           9       0.94      0.93      0.93       461

    accuracy                           0.74      4050
   macro avg       0.74      0.74      0.74      4050
weighted avg       0.75      0.74      0.74      4050
