Test Accuracy: 74.96%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.75      0.86      0.81       426
           1       0.85      0.89      0.87       454
           2       0.67      0.45      0.54       477
           3       0.53      0.59      0.56       382
           4       0.84      0.90      0.87       383
           5       0.70      0.73      0.72       288
           6       0.54      0.57      0.56       364
           7       0.91      0.93      0.92       442
           8       0.70      0.57      0.63       379
           9       0.91      0.96      0.93       455

    accuracy                           0.75      4050
   macro avg       0.74      0.74      0.74      4050
weighted avg       0.75      0.75      0.74      4050
