Test Accuracy: 10.56%, Test Loss: 63.070522033691404              precision    recall  f1-score   support

           0       0.06      0.04      0.05       506
           1       0.07      0.06      0.06       495
           2       0.17      0.02      0.04       504
           3       0.15      0.13      0.14       521
           4       0.05      0.05      0.05       494
           5       0.13      0.02      0.03       503
           6       0.13      0.09      0.11       515
           7       0.07      0.27      0.11       496
           8       0.22      0.23      0.22       493
           9       0.19      0.15      0.17       473

    accuracy                           0.11      5000
   macro avg       0.12      0.11      0.10      5000
weighted avg       0.12      0.11      0.10      5000
Test Accuracy: 11.72%, Test Loss: 91.71191081542969              precision    recall  f1-score   support

           0       0.14      0.72      0.23       497
           1       0.00      0.00      0.00       490
           2       0.02      0.00      0.00       534
           3       0.00      0.00      0.00       508
           4       0.06      0.07      0.06       501
           5       0.04      0.01      0.02       512
           6       0.11      0.26      0.15       505
           7       0.02      0.00      0.00       466
           8       0.28      0.08      0.13       498
           9       0.16      0.03      0.05       489

    accuracy                           0.12      5000
   macro avg       0.08      0.12      0.06      5000
weighted avg       0.08      0.12      0.06      5000
Test Accuracy: 10.34%, Test Loss: 66.09870192260742              precision    recall  f1-score   support

           0       0.10      0.13      0.11       538
           1       0.00      0.00      0.00       496
           2       0.12      0.15      0.13       492
           3       0.09      0.00      0.00       493
           4       0.07      0.03      0.04       520
           5       0.07      0.04      0.05       476
           6       0.12      0.59      0.20       508
           7       0.02      0.01      0.01       500
           8       0.08      0.08      0.08       471
           9       0.11      0.00      0.01       506

    accuracy                           0.10      5000
   macro avg       0.08      0.10      0.06      5000
weighted avg       0.08      0.10      0.06      5000
Test Accuracy: 7.60%, Test Loss: 55.700151733398435              precision    recall  f1-score   support

           0       0.13      0.10      0.12       476
           1       0.07      0.42      0.12       518
           2       0.07      0.03      0.04       520
           3       0.05      0.03      0.03       525
           4       0.08      0.02      0.03       491
           5       0.10      0.02      0.04       524
           6       0.10      0.04      0.06       491
           7       0.15      0.04      0.07       491
           8       0.04      0.03      0.03       478
           9       0.06      0.02      0.03       486

    accuracy                           0.08      5000
   macro avg       0.09      0.07      0.06      5000
weighted avg       0.09      0.08      0.06      5000
Test Accuracy: 64.16%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.53      0.65      0.59       496
           1       0.83      0.84      0.83       480
           2       0.42      0.65      0.51       496
           3       0.78      0.59      0.67       494
           4       0.68      0.40      0.51       536
           5       0.52      0.84      0.65       494
           6       0.34      0.20      0.25       505
           7       0.75      0.78      0.76       498
           8       0.88      0.69      0.77       509
           9       0.91      0.80      0.85       492

    accuracy                           0.64      5000
   macro avg       0.66      0.64      0.64      5000
weighted avg       0.66      0.64      0.64      5000
