Test Accuracy: 55.18%, Test Loss: 1.2963796478271485              precision    recall  f1-score   support

           0       0.55      0.67      0.60       487
           1       0.71      0.69      0.70       498
           2       0.46      0.34      0.39       505
           3       0.35      0.34      0.34       464
           4       0.50      0.47      0.49       534
           5       0.48      0.42      0.45       483
           6       0.57      0.72      0.64       511
           7       0.55      0.68      0.61       489
           8       0.68      0.55      0.61       494
           9       0.62      0.63      0.63       535

    accuracy                           0.55      5000
   macro avg       0.55      0.55      0.55      5000
weighted avg       0.55      0.55      0.55      5000
Test Accuracy: 55.18%, Test Loss: 1.2963796478271485              precision    recall  f1-score   support

           0       0.55      0.67      0.60       487
           1       0.71      0.69      0.70       498
           2       0.46      0.34      0.39       505
           3       0.35      0.34      0.34       464
           4       0.50      0.47      0.49       534
           5       0.48      0.42      0.45       483
           6       0.57      0.72      0.64       511
           7       0.55      0.68      0.61       489
           8       0.68      0.55      0.61       494
           9       0.62      0.63      0.63       535

    accuracy                           0.55      5000
   macro avg       0.55      0.55      0.55      5000
weighted avg       0.55      0.55      0.55      5000
