Test Accuracy: 88.72%, Test Loss: 0.313732722556591              precision    recall  f1-score   support

           0       0.80      0.90      0.84       506
           1       0.98      0.98      0.98       509
           2       0.80      0.84      0.82       500
           3       0.92      0.89      0.90       500
           4       0.80      0.82      0.81       504
           5       0.99      0.96      0.97       493
           6       0.74      0.58      0.65       497
           7       0.94      0.97      0.96       495
           8       0.94      0.98      0.96       507
           9       0.96      0.96      0.96       489

    accuracy                           0.89      5000
   macro avg       0.89      0.89      0.89      5000
weighted avg       0.89      0.89      0.89      5000
