Test Accuracy: 85.14%, Test Loss: 0.5658795548203391              precision    recall  f1-score   support

           0       0.81      0.88      0.84       880
           1       0.91      0.90      0.91      2500
           2       0.91      0.88      0.89      2078
           3       0.76      0.83      0.79      1445
           4       0.86      0.86      0.86      1273
           5       0.88      0.82      0.85      1175
           6       0.83      0.79      0.81      1024
           7       0.86      0.85      0.86      1006
           8       0.81      0.77      0.79       863
           9       0.76      0.81      0.79       772

    accuracy                           0.85     13016
   macro avg       0.84      0.84      0.84     13016
weighted avg       0.85      0.85      0.85     13016
Test Accuracy: 85.14%, Test Loss: 0.5658795548203391              precision    recall  f1-score   support

           0       0.81      0.88      0.84       880
           1       0.91      0.90      0.91      2500
           2       0.91      0.88      0.89      2078
           3       0.76      0.83      0.79      1445
           4       0.86      0.86      0.86      1273
           5       0.88      0.82      0.85      1175
           6       0.83      0.79      0.81      1024
           7       0.86      0.85      0.86      1006
           8       0.81      0.77      0.79       863
           9       0.76      0.81      0.79       772

    accuracy                           0.85     13016
   macro avg       0.84      0.84      0.84     13016
weighted avg       0.85      0.85      0.85     13016
