Test Accuracy: 98.00%, Test Loss: 0.05377040924280882              precision    recall  f1-score   support

           0       0.98      0.99      0.98       484
           1       0.99      0.98      0.99       571
           2       0.98      0.96      0.97       535
           3       0.98      0.98      0.98       524
           4       0.98      1.00      0.99       460
           5       0.98      0.98      0.98       431
           6       1.00      0.99      0.99       454
           7       0.98      0.99      0.98       512
           8       0.95      0.98      0.96       523
           9       0.98      0.96      0.97       506

    accuracy                           0.98      5000
   macro avg       0.98      0.98      0.98      5000
weighted avg       0.98      0.98      0.98      5000
