Test Accuracy: 84.90%, Test Loss: 0.4013383065223694              precision    recall  f1-score   support

           0       0.82      0.77      0.79       469
           1       0.98      0.96      0.97       515
           2       0.70      0.82      0.75       524
           3       0.86      0.88      0.87       491
           4       0.79      0.69      0.73       486
           5       0.95      0.92      0.93       518
           6       0.64      0.64      0.64       503
           7       0.93      0.90      0.91       494
           8       0.95      0.95      0.95       509
           9       0.92      0.95      0.93       491

    accuracy                           0.85      5000
   macro avg       0.85      0.85      0.85      5000
weighted avg       0.85      0.85      0.85      5000
Test Accuracy: 84.90%, Test Loss: 0.4013383065223694              precision    recall  f1-score   support

           0       0.82      0.77      0.79       469
           1       0.98      0.96      0.97       515
           2       0.70      0.82      0.75       524
           3       0.86      0.88      0.87       491
           4       0.79      0.69      0.73       486
           5       0.95      0.92      0.93       518
           6       0.64      0.64      0.64       503
           7       0.93      0.90      0.91       494
           8       0.95      0.95      0.95       509
           9       0.92      0.95      0.93       491

    accuracy                           0.85      5000
   macro avg       0.85      0.85      0.85      5000
weighted avg       0.85      0.85      0.85      5000
