Test Accuracy: 91.34%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.90      0.91      0.90       501
           1       0.88      0.92      0.90       474
           2       0.86      0.88      0.87       488
           3       0.94      0.91      0.93       502
           4       0.91      0.89      0.90       507
           5       0.95      0.90      0.93       516
           6       0.90      0.93      0.91       510
           7       0.93      0.92      0.92       490
           8       0.92      0.96      0.94       505
           9       0.96      0.92      0.94       507

    accuracy                           0.91      5000
   macro avg       0.91      0.91      0.91      5000
weighted avg       0.91      0.91      0.91      5000
