Test Accuracy: 80.24%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.92      0.84      0.88       528
           1       0.77      0.78      0.77       498
           2       0.72      0.73      0.72       493
           3       0.84      0.89      0.86       479
           4       0.79      0.79      0.79       495
           5       0.86      0.78      0.82       555
           6       0.78      0.81      0.80       518
           7       0.84      0.77      0.81       482
           8       0.74      0.82      0.78       474
           9       0.77      0.82      0.80       478

    accuracy                           0.80      5000
   macro avg       0.80      0.80      0.80      5000
weighted avg       0.81      0.80      0.80      5000
