Test Accuracy: 82.34%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.80      0.73      0.76       518
           1       0.98      0.96      0.97       477
           2       0.75      0.65      0.69       493
           3       0.80      0.88      0.84       520
           4       0.77      0.64      0.70       508
           5       0.93      0.92      0.92       496
           6       0.51      0.66      0.58       508
           7       0.90      0.92      0.91       470
           8       0.93      0.95      0.94       494
           9       0.94      0.94      0.94       516

    accuracy                           0.82      5000
   macro avg       0.83      0.82      0.83      5000
weighted avg       0.83      0.82      0.82      5000
