Test Accuracy: 85.68%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.87      0.73      0.79       495
           1       0.98      0.97      0.97       509
           2       0.79      0.77      0.78       485
           3       0.81      0.90      0.85       481
           4       0.79      0.79      0.79       530
           5       0.93      0.93      0.93       505
           6       0.63      0.66      0.65       519
           7       0.94      0.92      0.93       500
           8       0.94      0.95      0.95       485
           9       0.93      0.96      0.94       491

    accuracy                           0.86      5000
   macro avg       0.86      0.86      0.86      5000
weighted avg       0.86      0.86      0.86      5000
