Test Accuracy: 81.32%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.75      0.72      0.73       519
           1       0.96      0.96      0.96       513
           2       0.71      0.63      0.67       505
           3       0.86      0.81      0.84       488
           4       0.74      0.58      0.65       475
           5       0.95      0.95      0.95       507
           6       0.47      0.67      0.56       508
           7       0.92      0.91      0.91       466
           8       0.95      0.95      0.95       507
           9       0.93      0.95      0.94       512

    accuracy                           0.81      5000
   macro avg       0.82      0.81      0.82      5000
weighted avg       0.82      0.81      0.82      5000
