Test Accuracy: 81.02%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.72      0.78      0.75       503
           1       0.97      0.96      0.97       510
           2       0.70      0.66      0.68       515
           3       0.82      0.81      0.81       490
           4       0.61      0.76      0.68       470
           5       0.93      0.93      0.93       517
           6       0.58      0.43      0.49       492
           7       0.90      0.91      0.90       495
           8       0.91      0.92      0.91       508
           9       0.94      0.92      0.93       500

    accuracy                           0.81      5000
   macro avg       0.81      0.81      0.81      5000
weighted avg       0.81      0.81      0.81      5000
