Test Accuracy: 83.94%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.87      0.69      0.77       492
           1       0.99      0.91      0.95       486
           2       0.79      0.70      0.74       516
           3       0.80      0.89      0.84       528
           4       0.69      0.81      0.75       496
           5       0.92      0.95      0.93       510
           6       0.58      0.64      0.61       476
           7       0.90      0.93      0.92       491
           8       0.95      0.96      0.95       495
           9       0.97      0.91      0.94       510

    accuracy                           0.84      5000
   macro avg       0.85      0.84      0.84      5000
weighted avg       0.85      0.84      0.84      5000
