Test Accuracy: 83.10%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.82      0.75      0.79       514
           1       0.97      0.95      0.96       486
           2       0.77      0.68      0.72       511
           3       0.84      0.85      0.85       480
           4       0.71      0.75      0.73       507
           5       0.89      0.93      0.91       502
           6       0.58      0.63      0.60       501
           7       0.92      0.87      0.89       496
           8       0.92      0.96      0.94       492
           9       0.92      0.95      0.94       511

    accuracy                           0.83      5000
   macro avg       0.83      0.83      0.83      5000
weighted avg       0.83      0.83      0.83      5000
