Test Accuracy: 82.58%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.79      0.67      0.72       482
           1       0.96      0.97      0.97       507
           2       0.80      0.64      0.71       499
           3       0.84      0.81      0.83       503
           4       0.71      0.76      0.74       507
           5       0.96      0.93      0.94       498
           6       0.50      0.65      0.57       494
           7       0.90      0.92      0.91       493
           8       0.96      0.97      0.96       505
           9       0.93      0.93      0.93       512

    accuracy                           0.83      5000
   macro avg       0.83      0.82      0.83      5000
weighted avg       0.84      0.83      0.83      5000
