Test Accuracy: 86.96%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.82      0.82      0.82       527
           1       0.97      0.98      0.98       489
           2       0.75      0.85      0.80       487
           3       0.82      0.90      0.86       487
           4       0.86      0.69      0.77       505
           5       0.93      0.97      0.95       477
           6       0.69      0.65      0.67       498
           7       0.94      0.93      0.93       514
           8       0.94      0.98      0.96       502
           9       0.96      0.93      0.95       514

    accuracy                           0.87      5000
   macro avg       0.87      0.87      0.87      5000
weighted avg       0.87      0.87      0.87      5000
