Test Accuracy: 66.46%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.74      0.79      0.76       205
           1       0.71      0.68      0.69       188
           2       0.69      0.76      0.72       192
           3       0.48      0.49      0.49       188
           4       0.69      0.68      0.69       213
           5       0.65      0.64      0.64       199
           6       0.68      0.72      0.70       184
           7       0.61      0.57      0.58       198
           8       0.63      0.60      0.61       198
           9       0.76      0.72      0.74       197

    accuracy                           0.66      1962
   macro avg       0.66      0.66      0.66      1962
weighted avg       0.66      0.66      0.66      1962
