Test Accuracy: 63.56%, Test Loss: 0.0              precision    recall  f1-score   support

           0       0.69      0.77      0.73       188
           1       0.61      0.80      0.69       204
           2       0.75      0.60      0.67       181
           3       0.53      0.32      0.40       183
           4       0.64      0.75      0.69       213
           5       0.69      0.58      0.63       192
           6       0.74      0.68      0.71       191
           7       0.55      0.59      0.57       219
           8       0.62      0.44      0.52       202
           9       0.57      0.81      0.67       189

    accuracy                           0.64      1962
   macro avg       0.64      0.63      0.63      1962
weighted avg       0.64      0.64      0.63      1962
